transaction_id,customer_id,transaction_date,order_value_gbp,discount_used,returned,channel
TXN-4-1,CUST-100004,2024-05-20,22.7,1,0,Paid Search
TXN-4-2,CUST-100004,2024-04-21,19.6,1,0,Paid Search
TXN-4-3,CUST-100004,2024-04-27,35.76,0,0,Paid Search
TXN-4-4,CUST-100004,2024-05-03,29.64,0,0,Paid Search
TXN-5-1,CUST-100005,2025-01-17,20.09,1,0,Organic Search
TXN-6-1,CUST-100006,2024-10-04,89.01,1,0,Organic Search
TXN-6-2,CUST-100006,2024-10-07,80.73,0,0,Organic Search
TXN-6-3,CUST-100006,2024-10-05,92.24,0,0,Organic Search
TXN-7-1,CUST-100007,2024-05-19,66.4,1,0,Paid Search
TXN-7-2,CUST-100007,2024-01-20,97.34,1,1,Paid Search
TXN-7-3,CUST-100007,2024-01-26,98.51,1,0,Paid Search
TXN-7-4,CUST-100007,2024-05-11,64.31,1,1,Paid Search
TXN-7-5,CUST-100007,2024-05-02,115.58,0,0,Paid Search
TXN-7-6,CUST-100007,2024-01-25,72.16,1,0,Paid Search
TXN-7-7,CUST-100007,2024-04-21,94.96,1,0,Paid Search
TXN-7-8,CUST-100007,2024-03-09,98.84,1,0,Paid Search
TXN-8-1,CUST-100008,2025-08-08,30.41,0,1,Organic Search
TXN-8-2,CUST-100008,2025-10-21,24.85,0,1,Organic Search
TXN-9-1,CUST-100009,2024-07-16,28.83,0,0,Organic Search
TXN-9-2,CUST-100009,2024-09-16,18.71,1,0,Organic Search
TXN-9-3,CUST-100009,2024-07-19,46.77,1,0,Organic Search
TXN-9-4,CUST-100009,2024-07-04,22.47,1,1,Organic Search
TXN-9-5,CUST-100009,2024-07-10,30.38,0,0,Organic Search
TXN-10-1,CUST-100010,2024-10-12,97.37,0,0,Organic Search
TXN-10-2,CUST-100010,2025-08-20,152.01,0,0,Organic Search
TXN-10-3,CUST-100010,2024-10-10,113.19,1,1,Organic Search
TXN-10-4,CUST-100010,2024-09-27,97.27,1,1,Organic Search
TXN-10-5,CUST-100010,2025-08-26,92.86,0,0,Organic Search
TXN-10-6,CUST-100010,2025-07-19,92.75,1,0,Organic Search
TXN-10-7,CUST-100010,2025-01-22,149.82,0,0,Organic Search
TXN-10-8,CUST-100010,2025-07-30,91.77,1,1,Organic Search
TXN-10-9,CUST-100010,2025-08-25,103.7,0,0,Organic Search
TXN-10-10,CUST-100010,2024-09-28,32.39,0,0,Organic Search
TXN-11-1,CUST-100011,2024-12-23,55.61,1,0,Direct
TXN-11-2,CUST-100011,2025-02-16,70.29,1,0,Direct
TXN-11-3,CUST-100011,2025-05-04,54.0,1,0,Direct
TXN-11-4,CUST-100011,2025-08-15,53.71,1,0,Direct
TXN-11-5,CUST-100011,2025-04-05,46.37,1,0,Direct
TXN-11-6,CUST-100011,2025-05-22,57.62,1,0,Direct
TXN-11-7,CUST-100011,2025-03-27,54.58,1,1,Direct
TXN-11-8,CUST-100011,2025-08-01,43.6,1,0,Direct
TXN-12-1,CUST-100012,2025-05-01,48.3,1,1,Paid Social
TXN-12-2,CUST-100012,2025-06-07,58.91,1,1,Paid Social
TXN-12-3,CUST-100012,2025-06-04,67.08,1,0,Paid Social
TXN-12-4,CUST-100012,2025-07-25,48.6,1,0,Paid Social
TXN-12-5,CUST-100012,2025-09-09,60.43,0,0,Paid Social
TXN-12-6,CUST-100012,2025-01-23,54.12,0,0,Paid Social
TXN-13-1,CUST-100013,2024-08-15,88.26,0,0,Paid Search
TXN-13-2,CUST-100013,2024-08-16,83.22,0,0,Paid Search
TXN-13-3,CUST-100013,2024-09-26,112.7,0,0,Paid Search
TXN-13-4,CUST-100013,2024-12-07,102.02,0,0,Paid Search
TXN-13-5,CUST-100013,2025-01-28,91.73,0,0,Paid Search
TXN-13-6,CUST-100013,2024-12-13,93.84,1,0,Paid Search
TXN-13-7,CUST-100013,2024-08-31,125.72,1,0,Paid Search
TXN-13-8,CUST-100013,2025-01-05,100.36,1,0,Paid Search
TXN-13-9,CUST-100013,2024-08-05,102.28,0,0,Paid Search
TXN-13-10,CUST-100013,2024-07-15,76.87,0,0,Paid Search
TXN-14-1,CUST-100014,2024-08-02,80.48,0,0,Direct
TXN-15-1,CUST-100015,2024-04-12,35.18,1,0,Paid Social
TXN-15-2,CUST-100015,2024-04-15,53.39,1,0,Paid Social
TXN-15-3,CUST-100015,2024-04-10,44.8,1,0,Paid Social
TXN-15-4,CUST-100015,2024-03-08,52.5,0,0,Paid Social
TXN-16-1,CUST-100016,2025-01-24,54.23,1,1,Organic Search
TXN-16-2,CUST-100016,2024-08-01,58.56,0,1,Organic Search
TXN-16-3,CUST-100016,2024-10-28,65.86,1,0,Organic Search
TXN-16-4,CUST-100016,2024-08-16,55.65,0,0,Organic Search
TXN-16-5,CUST-100016,2025-02-05,22.86,1,0,Organic Search
TXN-16-6,CUST-100016,2024-10-03,68.21,1,1,Organic Search
TXN-16-7,CUST-100016,2024-10-21,46.57,0,1,Organic Search
TXN-17-1,CUST-100017,2024-09-01,40.16,0,0,Paid Social
TXN-17-2,CUST-100017,2024-04-07,68.34,1,1,Paid Social
TXN-17-3,CUST-100017,2024-06-13,49.25,1,0,Paid Social
TXN-17-4,CUST-100017,2024-08-10,49.49,1,1,Paid Social
TXN-17-5,CUST-100017,2024-04-08,43.44,1,0,Paid Social
TXN-17-6,CUST-100017,2024-11-18,45.47,0,1,Paid Social
TXN-17-7,CUST-100017,2024-09-10,66.65,1,1,Paid Social
TXN-17-8,CUST-100017,2024-10-07,67.71,0,1,Paid Social
TXN-17-9,CUST-100017,2024-08-12,51.04,0,0,Paid Social
TXN-17-10,CUST-100017,2024-04-08,54.79,0,1,Paid Social
TXN-17-11,CUST-100017,2024-03-01,42.69,1,1,Paid Social
TXN-18-1,CUST-100018,2024-11-24,85.87,0,1,Affiliate
TXN-18-2,CUST-100018,2024-12-26,63.48,0,0,Affiliate
TXN-18-3,CUST-100018,2025-01-02,60.74,0,1,Affiliate
TXN-18-4,CUST-100018,2025-02-21,36.93,0,0,Affiliate
TXN-18-5,CUST-100018,2025-02-07,69.65,0,1,Affiliate
TXN-18-6,CUST-100018,2024-11-10,75.98,0,0,Affiliate
TXN-18-7,CUST-100018,2024-12-11,56.54,0,0,Affiliate
TXN-18-8,CUST-100018,2025-01-08,40.95,0,0,Affiliate
TXN-19-1,CUST-100019,2024-03-28,29.79,0,1,Organic Search
TXN-19-2,CUST-100019,2024-04-02,24.43,0,0,Organic Search
TXN-19-3,CUST-100019,2024-03-29,41.17,0,0,Organic Search
TXN-19-4,CUST-100019,2024-05-26,24.01,0,0,Organic Search
TXN-19-5,CUST-100019,2024-03-19,20.47,1,0,Organic Search
TXN-20-1,CUST-100020,2025-05-04,91.2,1,1,Organic Search
TXN-20-2,CUST-100020,2025-07-28,62.13,0,1,Organic Search
TXN-20-3,CUST-100020,2025-07-03,76.44,0,0,Organic Search
TXN-20-4,CUST-100020,2025-06-07,67.78,0,1,Organic Search
TXN-20-5,CUST-100020,2024-10-11,77.83,0,1,Organic Search
TXN-20-6,CUST-100020,2025-08-01,73.65,0,1,Organic Search
TXN-20-7,CUST-100020,2024-11-09,37.57,0,0,Organic Search
TXN-20-8,CUST-100020,2025-10-19,77.73,0,1,Organic Search
TXN-20-9,CUST-100020,2025-10-30,62.0,0,1,Organic Search
TXN-20-10,CUST-100020,2024-12-01,56.1,0,0,Organic Search
TXN-21-1,CUST-100021,2025-01-16,9.9,1,0,Affiliate
TXN-22-1,CUST-100022,2025-04-13,54.46,1,0,Organic Search
TXN-22-2,CUST-100022,2024-11-15,40.12,1,1,Organic Search
TXN-22-3,CUST-100022,2024-11-03,59.79,0,1,Organic Search
TXN-22-4,CUST-100022,2024-12-25,85.97,1,0,Organic Search
TXN-22-5,CUST-100022,2025-08-26,93.95,0,0,Organic Search
TXN-22-6,CUST-100022,2025-03-18,60.78,0,0,Organic Search
TXN-23-1,CUST-100023,2024-09-11,122.9,1,0,Paid Social
TXN-23-2,CUST-100023,2024-07-23,108.38,1,0,Paid Social
TXN-23-3,CUST-100023,2024-08-31,69.39,1,0,Paid Social
TXN-23-4,CUST-100023,2024-06-19,90.49,1,0,Paid Social
TXN-23-5,CUST-100023,2024-08-23,66.47,1,0,Paid Social
TXN-24-1,CUST-100024,2025-01-05,44.97,1,0,Email
TXN-25-1,CUST-100025,2025-11-24,104.05,1,0,Display
TXN-25-2,CUST-100025,2025-07-10,104.79,0,0,Display
TXN-25-3,CUST-100025,2025-07-09,67.69,0,1,Display
TXN-25-4,CUST-100025,2026-05-11,79.62,1,0,Display
TXN-25-5,CUST-100025,2024-11-12,57.67,0,0,Display
TXN-25-6,CUST-100025,2025-10-10,127.96,0,0,Display
TXN-25-7,CUST-100025,2025-04-18,116.36,0,0,Display
TXN-25-8,CUST-100025,2025-04-22,85.13,0,0,Display
TXN-25-9,CUST-100025,2026-01-31,112.97,0,0,Display
TXN-25-10,CUST-100025,2024-10-18,71.11,1,0,Display
TXN-25-11,CUST-100025,2026-01-14,125.32,1,0,Display
TXN-25-12,CUST-100025,2025-05-14,62.02,0,0,Display
TXN-25-13,CUST-100025,2026-01-05,62.16,0,0,Display
TXN-26-1,CUST-100026,2024-09-10,39.04,1,0,Organic Search
TXN-26-2,CUST-100026,2024-09-28,26.68,1,0,Organic Search
TXN-26-3,CUST-100026,2024-08-07,19.32,1,0,Organic Search
TXN-27-1,CUST-100027,2024-09-08,90.0,1,1,Email
TXN-27-2,CUST-100027,2024-10-28,19.72,1,0,Email
TXN-27-3,CUST-100027,2024-06-21,67.48,0,1,Email
TXN-27-4,CUST-100027,2025-02-17,62.17,0,0,Email
TXN-27-5,CUST-100027,2025-01-08,44.78,1,0,Email
TXN-27-6,CUST-100027,2025-01-24,60.02,0,0,Email
TXN-27-7,CUST-100027,2024-07-20,46.9,1,0,Email
TXN-27-8,CUST-100027,2024-08-14,70.5,0,0,Email
TXN-28-1,CUST-100028,2024-03-26,94.95,1,0,Paid Search
TXN-28-2,CUST-100028,2024-06-11,75.97,0,0,Paid Search
TXN-28-3,CUST-100028,2024-06-23,100.29,0,0,Paid Search
TXN-28-4,CUST-100028,2024-03-28,85.89,0,0,Paid Search
TXN-29-1,CUST-100029,2025-03-02,152.46,0,0,Direct
TXN-29-2,CUST-100029,2025-03-06,147.03,0,0,Direct
TXN-29-3,CUST-100029,2024-12-07,134.63,0,0,Direct
TXN-29-4,CUST-100029,2025-03-18,116.35,0,0,Direct
TXN-29-5,CUST-100029,2025-02-11,73.42,0,0,Direct
TXN-29-6,CUST-100029,2025-03-13,120.89,1,0,Direct
TXN-29-7,CUST-100029,2025-05-10,133.58,1,0,Direct
TXN-29-8,CUST-100029,2025-02-27,76.64,1,0,Direct
TXN-29-9,CUST-100029,2025-04-11,104.65,0,0,Direct
TXN-29-10,CUST-100029,2025-05-18,70.23,0,0,Direct
TXN-30-1,CUST-100030,2024-09-21,35.61,1,0,Direct
TXN-30-2,CUST-100030,2024-07-11,38.76,0,0,Direct
TXN-30-3,CUST-100030,2024-09-29,40.16,0,0,Direct
TXN-30-4,CUST-100030,2024-08-15,27.33,0,0,Direct
TXN-30-5,CUST-100030,2024-08-29,14.6,0,0,Direct
TXN-30-6,CUST-100030,2024-11-20,19.77,0,0,Direct
TXN-31-1,CUST-100031,2024-10-22,38.32,0,1,Email
TXN-31-2,CUST-100031,2024-08-16,47.53,1,0,Email
TXN-31-3,CUST-100031,2025-08-18,85.33,0,1,Email
TXN-31-4,CUST-100031,2024-11-09,55.82,1,1,Email
TXN-31-5,CUST-100031,2025-09-11,64.59,1,0,Email
TXN-32-1,CUST-100032,2024-07-01,17.97,1,0,Organic Search
TXN-32-2,CUST-100032,2025-03-11,29.91,1,0,Organic Search
TXN-33-1,CUST-100033,2025-06-25,27.89,1,1,Paid Search
TXN-33-2,CUST-100033,2024-11-19,21.62,1,1,Paid Search
TXN-34-1,CUST-100034,2024-05-15,63.93,0,0,Paid Social
TXN-34-2,CUST-100034,2024-04-30,77.69,0,1,Paid Social
TXN-34-3,CUST-100034,2024-05-28,98.41,0,0,Paid Social
TXN-34-4,CUST-100034,2024-04-29,59.77,0,0,Paid Social
TXN-34-5,CUST-100034,2024-05-07,63.02,1,0,Paid Social
TXN-35-1,CUST-100035,2024-06-16,81.21,0,0,Display
TXN-35-2,CUST-100035,2024-05-22,73.24,1,0,Display
TXN-35-3,CUST-100035,2024-05-25,203.81,0,0,Display
TXN-35-4,CUST-100035,2024-06-12,157.48,0,0,Display
TXN-35-5,CUST-100035,2024-05-12,160.5,0,0,Display
TXN-35-6,CUST-100035,2024-04-04,130.41,0,0,Display
TXN-35-7,CUST-100035,2024-08-25,83.3,1,1,Display
TXN-35-8,CUST-100035,2024-06-19,120.3,0,0,Display
TXN-35-9,CUST-100035,2024-08-25,139.29,1,0,Display
TXN-35-10,CUST-100035,2024-09-08,179.25,0,0,Display
TXN-35-11,CUST-100035,2024-06-12,115.5,1,0,Display
TXN-35-12,CUST-100035,2024-06-18,156.56,0,0,Display
TXN-35-13,CUST-100035,2024-10-29,133.24,0,0,Display
TXN-35-14,CUST-100035,2024-06-12,151.51,0,1,Display
TXN-36-1,CUST-100036,2024-11-03,45.68,0,0,Display
TXN-37-1,CUST-100037,2024-09-02,79.82,0,0,Display
TXN-38-1,CUST-100038,2024-06-06,64.58,1,0,Direct
TXN-38-2,CUST-100038,2024-05-23,32.21,1,1,Direct
TXN-38-3,CUST-100038,2024-07-04,70.14,0,1,Direct
TXN-38-4,CUST-100038,2024-05-06,47.74,1,1,Direct
TXN-38-5,CUST-100038,2024-05-15,61.54,1,0,Direct
TXN-38-6,CUST-100038,2024-06-02,42.9,0,0,Direct
TXN-38-7,CUST-100038,2024-05-07,64.83,0,1,Direct
TXN-39-1,CUST-100039,2025-04-19,80.95,0,0,Paid Social
TXN-39-2,CUST-100039,2025-04-23,78.31,1,1,Paid Social
TXN-39-3,CUST-100039,2025-08-09,90.39,1,1,Paid Social
TXN-39-4,CUST-100039,2025-11-19,63.5,1,0,Paid Social
TXN-39-5,CUST-100039,2025-11-16,88.79,0,0,Paid Social
TXN-39-6,CUST-100039,2025-05-27,80.19,0,0,Paid Social
TXN-39-7,CUST-100039,2025-09-10,98.1,0,0,Paid Social
TXN-40-1,CUST-100040,2024-10-16,24.77,1,0,Referral
TXN-40-2,CUST-100040,2024-12-25,64.04,0,0,Referral
TXN-40-3,CUST-100040,2025-01-10,59.51,0,0,Referral
TXN-40-4,CUST-100040,2024-11-08,59.13,0,0,Referral
TXN-40-5,CUST-100040,2024-12-24,38.8,0,0,Referral
TXN-40-6,CUST-100040,2024-07-29,65.57,1,0,Referral
TXN-40-7,CUST-100040,2024-10-26,38.04,1,0,Referral
TXN-40-8,CUST-100040,2024-07-09,37.11,1,0,Referral
TXN-40-9,CUST-100040,2024-08-27,49.57,1,0,Referral
TXN-40-10,CUST-100040,2024-07-20,34.7,0,1,Referral
TXN-40-11,CUST-100040,2024-09-01,48.75,1,0,Referral
TXN-41-1,CUST-100041,2025-05-27,54.51,1,0,Direct
TXN-41-2,CUST-100041,2025-09-13,52.61,1,0,Direct
TXN-41-3,CUST-100041,2025-04-27,59.48,1,1,Direct
TXN-41-4,CUST-100041,2024-07-27,70.28,1,1,Direct
TXN-41-5,CUST-100041,2025-08-21,56.27,1,0,Direct
TXN-41-6,CUST-100041,2025-01-18,34.11,1,1,Direct
TXN-41-7,CUST-100041,2025-08-19,49.31,1,0,Direct
TXN-41-8,CUST-100041,2025-11-02,45.81,1,0,Direct
TXN-41-9,CUST-100041,2025-04-12,55.49,1,0,Direct
TXN-41-10,CUST-100041,2025-05-10,47.77,0,0,Direct
TXN-41-11,CUST-100041,2024-07-21,54.32,1,1,Direct
TXN-41-12,CUST-100041,2025-09-03,48.75,1,1,Direct
TXN-41-13,CUST-100041,2025-07-05,43.16,1,0,Direct
TXN-42-1,CUST-100042,2024-09-19,55.72,1,1,Email
TXN-42-2,CUST-100042,2024-06-10,48.36,1,0,Email
TXN-42-3,CUST-100042,2024-07-31,54.22,0,0,Email
TXN-42-4,CUST-100042,2024-10-01,32.16,1,1,Email
TXN-42-5,CUST-100042,2024-05-30,58.9,1,1,Email
TXN-42-6,CUST-100042,2024-08-12,52.1,1,0,Email
TXN-42-7,CUST-100042,2024-09-16,51.14,1,1,Email
TXN-43-1,CUST-100043,2025-01-25,65.54,0,1,Organic Search
TXN-43-2,CUST-100043,2024-12-22,37.92,1,0,Organic Search
TXN-43-3,CUST-100043,2024-07-29,44.53,0,0,Organic Search
TXN-43-4,CUST-100043,2024-12-19,76.12,0,0,Organic Search
TXN-43-5,CUST-100043,2024-10-26,48.7,1,0,Organic Search
TXN-43-6,CUST-100043,2024-08-13,94.24,1,0,Organic Search
TXN-43-7,CUST-100043,2024-10-21,24.98,0,0,Organic Search
TXN-43-8,CUST-100043,2025-02-14,58.53,1,0,Organic Search
TXN-44-1,CUST-100044,2025-07-13,75.56,1,1,Paid Social
TXN-44-2,CUST-100044,2025-05-11,97.1,0,0,Paid Social
TXN-44-3,CUST-100044,2025-06-10,113.87,0,0,Paid Social
TXN-44-4,CUST-100044,2024-07-20,128.94,0,0,Paid Social
TXN-44-5,CUST-100044,2025-06-11,149.08,1,0,Paid Social
TXN-44-6,CUST-100044,2025-02-10,129.88,0,0,Paid Social
TXN-44-7,CUST-100044,2025-08-31,101.26,0,0,Paid Social
TXN-44-8,CUST-100044,2024-09-11,104.28,0,0,Paid Social
TXN-44-9,CUST-100044,2025-02-03,85.04,0,0,Paid Social
TXN-44-10,CUST-100044,2024-07-06,106.1,1,0,Paid Social
TXN-44-11,CUST-100044,2025-03-24,87.45,0,0,Paid Social
TXN-44-12,CUST-100044,2025-08-22,139.48,1,1,Paid Social
TXN-44-13,CUST-100044,2025-03-14,96.54,0,0,Paid Social
TXN-45-1,CUST-100045,2024-11-13,115.0,1,0,Display
TXN-45-2,CUST-100045,2024-12-30,111.43,0,0,Display
TXN-45-3,CUST-100045,2024-10-27,91.87,1,0,Display
TXN-45-4,CUST-100045,2024-10-11,138.74,0,0,Display
TXN-45-5,CUST-100045,2024-12-17,137.35,1,0,Display
TXN-45-6,CUST-100045,2024-11-10,118.37,0,0,Display
TXN-45-7,CUST-100045,2024-12-07,108.77,0,0,Display
TXN-46-1,CUST-100046,2024-10-21,54.49,0,1,Organic Search
TXN-46-2,CUST-100046,2024-10-22,24.09,0,0,Organic Search
TXN-46-3,CUST-100046,2024-10-07,48.63,0,0,Organic Search
TXN-46-4,CUST-100046,2024-10-26,38.74,1,0,Organic Search
TXN-47-1,CUST-100047,2024-02-05,89.2,0,1,Display
TXN-47-2,CUST-100047,2024-03-26,122.11,0,1,Display
TXN-47-3,CUST-100047,2024-08-29,99.06,1,1,Display
TXN-47-4,CUST-100047,2024-08-09,95.14,0,0,Display
TXN-47-5,CUST-100047,2024-07-09,96.53,1,0,Display
TXN-47-6,CUST-100047,2024-06-20,116.11,0,0,Display
TXN-47-7,CUST-100047,2024-06-18,87.54,1,1,Display
TXN-47-8,CUST-100047,2024-02-19,101.82,1,0,Display
TXN-47-9,CUST-100047,2024-05-02,85.88,0,0,Display
TXN-47-10,CUST-100047,2024-09-06,105.13,0,0,Display
TXN-47-11,CUST-100047,2024-05-27,79.37,1,0,Display
TXN-47-12,CUST-100047,2024-02-05,102.9,1,0,Display
TXN-48-1,CUST-100048,2024-12-27,52.11,0,1,Paid Search
TXN-48-2,CUST-100048,2024-09-05,48.2,0,0,Paid Search
TXN-48-3,CUST-100048,2025-01-14,56.27,1,1,Paid Search
TXN-48-4,CUST-100048,2024-09-30,51.05,1,0,Paid Search
TXN-48-5,CUST-100048,2025-01-26,36.78,0,1,Paid Search
TXN-48-6,CUST-100048,2024-09-10,62.69,0,1,Paid Search
TXN-48-7,CUST-100048,2024-10-19,45.46,0,1,Paid Search
TXN-48-8,CUST-100048,2024-09-19,71.33,1,0,Paid Search
TXN-48-9,CUST-100048,2024-11-14,66.56,1,0,Paid Search
TXN-49-1,CUST-100049,2024-08-15,74.28,1,0,Direct
TXN-49-2,CUST-100049,2024-05-31,98.64,0,0,Direct
TXN-49-3,CUST-100049,2024-11-10,90.17,0,0,Direct
TXN-49-4,CUST-100049,2024-07-09,116.96,0,0,Direct
TXN-49-5,CUST-100049,2024-08-05,77.0,0,0,Direct
TXN-49-6,CUST-100049,2024-07-21,118.53,0,0,Direct
TXN-49-7,CUST-100049,2024-07-30,111.15,1,0,Direct
TXN-50-1,CUST-100050,2025-02-07,63.31,0,1,Direct
TXN-50-2,CUST-100050,2025-07-18,42.74,1,1,Direct
TXN-50-3,CUST-100050,2025-02-05,64.74,1,1,Direct
TXN-50-4,CUST-100050,2025-01-04,84.04,1,0,Direct
TXN-51-1,CUST-100051,2024-07-30,86.93,0,0,Paid Search
TXN-51-2,CUST-100051,2025-05-29,69.93,0,0,Paid Search
TXN-51-3,CUST-100051,2025-07-06,94.73,0,0,Paid Search
TXN-51-4,CUST-100051,2025-01-08,46.26,0,0,Paid Search
TXN-51-5,CUST-100051,2025-11-10,111.02,0,0,Paid Search
TXN-51-6,CUST-100051,2024-11-23,74.16,0,0,Paid Search
TXN-51-7,CUST-100051,2025-05-12,95.76,0,0,Paid Search
TXN-51-8,CUST-100051,2026-02-04,73.53,0,0,Paid Search
TXN-51-9,CUST-100051,2025-01-07,101.47,0,0,Paid Search
TXN-51-10,CUST-100051,2025-07-13,94.3,0,0,Paid Search
TXN-51-11,CUST-100051,2026-01-03,45.45,1,0,Paid Search
TXN-51-12,CUST-100051,2025-10-09,90.86,0,0,Paid Search
TXN-52-1,CUST-100052,2025-02-19,93.5,0,0,Email
TXN-52-2,CUST-100052,2025-06-18,132.21,0,0,Email
TXN-52-3,CUST-100052,2024-08-16,79.95,0,0,Email
TXN-52-4,CUST-100052,2025-09-07,105.82,0,1,Email
TXN-52-5,CUST-100052,2025-01-09,125.0,0,0,Email
TXN-52-6,CUST-100052,2025-03-27,100.51,0,0,Email
TXN-52-7,CUST-100052,2025-05-23,104.92,0,0,Email
TXN-52-8,CUST-100052,2024-04-05,52.62,0,0,Email
TXN-52-9,CUST-100052,2024-10-11,75.5,0,0,Email
TXN-52-10,CUST-100052,2024-11-27,105.94,0,0,Email
TXN-52-11,CUST-100052,2025-08-13,93.06,0,0,Email
TXN-52-12,CUST-100052,2024-09-10,89.62,0,0,Email
TXN-52-13,CUST-100052,2024-09-16,122.28,0,1,Email
TXN-52-14,CUST-100052,2025-01-24,119.03,0,0,Email
TXN-53-1,CUST-100053,2024-10-26,20.79,0,0,Organic Search
TXN-53-2,CUST-100053,2024-10-07,64.95,0,0,Organic Search
TXN-53-3,CUST-100053,2024-10-23,71.94,1,0,Organic Search
TXN-54-1,CUST-100054,2024-07-29,9.8,1,0,Affiliate
TXN-54-2,CUST-100054,2024-06-27,9.8,1,0,Affiliate
TXN-54-3,CUST-100054,2024-07-19,14.92,1,0,Affiliate
TXN-54-4,CUST-100054,2024-05-30,17.61,0,0,Affiliate
TXN-54-5,CUST-100054,2024-06-30,12.37,1,1,Affiliate
TXN-55-1,CUST-100055,2025-01-04,90.49,1,0,Paid Search
TXN-55-2,CUST-100055,2025-05-17,118.14,0,0,Paid Search
TXN-55-3,CUST-100055,2024-12-11,87.76,0,0,Paid Search
TXN-55-4,CUST-100055,2024-10-31,128.6,1,0,Paid Search
TXN-55-5,CUST-100055,2025-08-25,117.35,0,0,Paid Search
TXN-55-6,CUST-100055,2025-05-13,86.03,0,0,Paid Search
TXN-56-1,CUST-100056,2024-03-03,38.33,1,1,Paid Search
TXN-57-1,CUST-100057,2024-07-05,47.73,0,0,Direct
TXN-57-2,CUST-100057,2024-07-05,28.89,0,1,Direct
TXN-57-3,CUST-100057,2024-07-05,43.72,0,0,Direct
TXN-57-4,CUST-100057,2024-07-05,43.39,1,0,Direct
TXN-58-1,CUST-100058,2024-08-03,29.97,1,0,Organic Search
TXN-58-2,CUST-100058,2024-09-07,32.67,1,0,Organic Search
TXN-59-1,CUST-100059,2025-01-31,61.39,0,1,Direct
TXN-59-2,CUST-100059,2024-10-19,48.29,0,1,Direct
TXN-59-3,CUST-100059,2025-06-21,43.35,1,0,Direct
TXN-59-4,CUST-100059,2025-04-07,77.92,0,0,Direct
TXN-59-5,CUST-100059,2025-07-05,62.31,0,0,Direct
TXN-59-6,CUST-100059,2024-06-17,60.39,0,1,Direct
TXN-59-7,CUST-100059,2025-07-02,47.49,1,0,Direct
TXN-59-8,CUST-100059,2024-06-24,76.47,0,0,Direct
TXN-60-1,CUST-100060,2025-08-04,28.93,1,0,Paid Social
TXN-60-2,CUST-100060,2024-05-07,20.53,0,0,Paid Social
TXN-60-3,CUST-100060,2025-06-29,33.04,1,1,Paid Social
